osm_id,osm_name_street,osm_nodes
26411759,Av. Panamericana Norte,27
26411761,Av. Panamericana Norte,1
26411773,Av. Panamericana Norte,1
26412848,Panamericana Norte,43
27455207,Henado de Magallanes,2
27455416,Ovalo Saloom,12
27455450,República de Venezuela,17
27455459,República de Venezuela,20
27455460,Gamarra,2
27455493,Plaza Tupac Amaru,9
27767529,Talara,16
27767532,Huancavelica,7
27767540,Tupac Amaru,16
27767541,Tupac Amaru,4
27767551,Circunvalacion,17
27767555,Lima,23
27767560,Calle 7,2
27767564,De la Alameda,24
27767565,De la Alameda,30
27767566,Santa Rosa,5
27767567,Santa Rosa,6
